Timestamp,No. pulses,No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1676917436.3451946, 0, 0, 0.9799540664695694,False, 0.01, -1, 0.02716052919269626,0.006051184615291446,R_on
1676917438.5644255, 1, 0, 517.4236417451091,True, 0.1, 1.5, -0.00072137456154762,0.0002266190717510683,R_off
1676917440.7640626, 0, 1, 1.2580337454815298,False, 0.01, -1, 0.026467586841142463,0.006753606238348998,R_on
1676917442.9763496, 1, 1, 127.76075739230377,True, 0.1, 1.5, -0.0005057628479038683,0.0002404379168551216,R_off
1676917445.1811736, 0, 2, 1.4653231281327483,False, 0.01, -1, 0.026170443082614826,0.007040028402733666,R_on
1676917447.3907137, 1, 2, 35.24388817093299,False, 0.01, -1, -0.0006070716313346312,0.00038875358710638763,Unknown
1676917449.6019125, 2, 2, 73.44342018973552,True, 0.1, 1.5, -0.000280535312612287,0.00024216623107713173,R_off
1676917451.8175788, 0, 3, 1.2185266205833813,False, 0.01, -1, 0.026457907565225133,0.006759699984876515,R_on
1676917454.0207474, 1, 3, 71.30605780684638,True, 0.1, 1.5, -0.0004406429199769633,0.00023717369138111366,R_off
1676917456.2358272, 0, 4, 1.3008565107847965,False, 0.01, -1, 0.026400704608003707,0.006813460970739731,R_on
1676917458.4559655, 1, 4, 106.12517404965995,True, 0.1, 1.5, -0.00036348685774914336,0.00022229489906224937,R_off
1676917460.6661465, 0, 5, 1.6399128443754238,False, 0.01, -1, 0.026147953449244567,0.0070629885006198686,R_on
1676917462.8740273, 1, 5, 72.95864605331676,True, 0.1, 1.5, -0.0005059217183156055,0.0003169437891176709,R_off
1676917465.1022637, 0, 6, 1.5401277078917495,False, 0.01, -1, 0.026196610036148798,0.007013821282010165,R_on
1676917467.3187642, 1, 6, 42.915349982087484,False, 0.01, -1, -0.0007133813148403676,0.0004205736722564238,Unknown
1676917469.5389612, 2, 6, 93.68948348281194,True, 0.1, 1.5, -0.00027432459596003815,0.00023610822272415963,R_off
1676917471.7499428, 0, 7, 1.7617291235191348,False, 0.01, -1, 0.026124944535823164,0.007080452590686457,R_on
1676917473.964464, 1, 7, 36.045859102761845,False, 0.01, -1, -0.00047986994974432866,0.00035288799565197723,Unknown
1676917476.172166, 2, 7, 53.39028707900917,True, 0.1, 1.5, -0.0003209518540843259,0.000271637269734804,R_off
1676917478.3803213, 0, 8, 1.4740748936380013,False, 0.01, -1, 0.02598946605392774,0.007213585436564678,R_on
1676917480.593206, 1, 8, 38.365263625742244,False, 0.01, -1, -0.0005268718456365697,0.00036964469491667826,Unknown
1676917482.8122094, 2, 8, 43.343094414673644,False, 0.01, -1, -0.0003402644743308323,0.0002849479695392345,Unknown
1676917485.0321105, 3, 8, 54.00524428104257,True, 0.1, 1.5, -0.0002943732603671012,0.0002525159530367684,R_off
1676917487.2447195, 0, 9, 1.8616310076913,False, 0.01, -1, 0.026517330454053883,0.006659114434352112,R_on
